,,,Apr-14,,,,,,,,,,,,,,Apr-14,,,,,,,,,,,,,,Apr-14,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,0,0,0,4.2,13.2,18.6,28.6,11.4,0,2.8,78.8,885,"MAINIT, SURIGAO DEL NORTE",13,21.4,9.6,0.2,,,3.4,1.2,9,0,0,44.8,885,"MAINIT, SURIGAO DEL NORTE",13,0.6,0.2,0,0,0,19.2,0,0,0,0,20,143.6
881,"KORONADAL, SOUTH COTABATO",12,0,0,0,0,0,0,0,0,0,0,0,881,"KORONADAL, SOUTH COTABATO",12,2.4,0,18.2,5.8,0,0,3.6,5.4,0,0,35.4,881,"KORONADAL, SOUTH COTABATO",12,0,4.8,22.6,0.2,0.2,0,0,6.4,0.6,0.6,35.4,70.8
893,"PROSPERIDAD, AGUSAN DEL SUR",13,0,0,2.2,0.6,0,0,0,1.8,0.8,2.2,7.6,893,"PROSPERIDAD, AGUSAN DEL SUR",13,3.8,0,0.2,1.8,0.2,0,8.2,4.2,0.2,0,18.6,893,"PROSPERIDAD, AGUSAN DEL SUR",13,0,0,0.4,5,0,0,0,0,0,0,5.4,31.6
862,"TABUK, KALINGA",CAR,0,17.8,28.4,0,0,0,0,0.6,0,0,46.8,862,"TABUK, KALINGA",CAR,31.4,2.6,0,0,0,0,0,0,0,0,34,862,"TABUK, KALINGA",CAR,0,0,0,0,0,0,0,0,31.4,0.8,32.2,113
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,,,4.4,0,0,0,0,0,0.2,0,4.6,295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,0,0,1.8,0,0,0,0,0,0,0,1.8,295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,0,0,0,0,3.2,0,0,0,5.4,8.4,17,23.4
375,"DULAG, LEYTE",8,0,2.8,6.4,0,0.8,0.4,3.8,2,4.4,10.4,31,375,"DULAG, LEYTE",8,3,11.4,17,12,79.4,0,5.8,0,1.4,20.4,150.4,375,"DULAG, LEYTE",8,0.2,0,0,1.8,0,0,0,0,2.6,0,4.6,186
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,0,0,0,0,0,0,0,0,0,0,0,339,"STA. MARIA - PANGASINAN, PANGASINAN",1,7.4,11.2,0.8,0.6,0,0,0,0,0,39.8,59.8,339,"STA. MARIA - PANGASINAN, PANGASINAN",1,0.2,0,17.8,0.2,0,0,0,0,8.6,0.4,27.2,87
373,"TANAY, RIZAL",4-A,0,0,0,0,0,1,0,1.4,0,0,2.4,373,"TANAY, RIZAL",4-A,0,0,0,0,0,0,0,0,0,0,0,373,"TANAY, RIZAL",4-A,4.2,0,0,0,0,0,0,3.8,0,0,8,10.4
366,"ISING, DAVAO DEL NORTE",11,0,0,0,0,0,0,0,0,0,0,0,366,"ISING, DAVAO DEL NORTE",11,0,0,0.2,0.8,13.6,0,83,18.6,31.8,0,148,366,"ISING, DAVAO DEL NORTE",11,0,40.8,6.8,0.6,0,0,0,44,0,0,92.2,240.2
368,"KITCHARAO, AGUSAN DEL NORTE",13,0,0,0.6,14.6,1.2,38.8,96.4,47.8,1.8,7.6,208.8,368,"KITCHARAO, AGUSAN DEL NORTE",13,34.8,8.6,6.2,46.6,3.2,24.6,1.6,10.6,0.6,0,136.8,368,"KITCHARAO, AGUSAN DEL NORTE",13,0,0,0,0,0,15.6,0,,0,,15.6,361.2
875,"LASAM, CAGAYAN",2,0,0,0,17.8,0,0,0,23.2,0,0,41,875,"LASAM, CAGAYAN",2,0,5.2,0,0,0,0,0,0.4,4.2,0,9.8,875,"LASAM, CAGAYAN",2,2.6,0,0,0,0,0,0,0,0,0.2,2.8,53.6
869,"MALAYBALAY, BUKIDNON",10,0,7.6,0,0.2,0,15.6,2,4.4,0,0,29.8,869,"MALAYBALAY, BUKIDNON",10,0.2,0,10.4,6.2,0,41.6,0,0,22,1,81.4,869,"MALAYBALAY, BUKIDNON",10,6.2,0,5.4,0.2,0,0,0,8.8,0,2.4,23,134.2
361,"VITALI DISTRICT, ZAMBOANGA CITY",9,0,0,0,0,0,0,0,0,0,0,0,361,"VITALI DISTRICT, ZAMBOANGA CITY",9,75.6,0,0,0.2,0,0,0,11.8,0,0.2,87.8,361,"VITALI DISTRICT, ZAMBOANGA CITY",9,0,0,1.2,0,0,0,0,0,0,0,1.2,89
933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",ARMM,,,,,,,,,,,,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",ARMM,,,,,,,,,,,,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",ARMM,,0,0,0.2,0,0.2,0,0.2,0,2,2.6,2.6
900,"CATUBIG, NORTHERN SAMAR",8,0,0,0,0,0,0,0,0,0,0,0,900,"CATUBIG, NORTHERN SAMAR",8,0,0,0,0,0,0,0,0,0,0,0,900,"CATUBIG, NORTHERN SAMAR",8,0,0,0,0,0,0,0,0,0,0,0,0
367,"PLARIDEL, MISAMIS OCCIDENTAL",10,0,0,0,0,0,1.6,0,0,0,3.6,5.2,367,"PLARIDEL, MISAMIS OCCIDENTAL",10,0,0,0,12.4,4.8,36.4,0,6,0.6,0,60.2,367,"PLARIDEL, MISAMIS OCCIDENTAL",10,0,0,0,0,0,0,0.2,13.6,0,5.6,19.4,84.8
853,"BANGA, AKLAN",6,,,,,,,,2.6,0,0,2.6,853,"BANGA, AKLAN",6,0,0,0,19.4,27.4,0,0.2,2.8,0,0,49.8,853,"BANGA, AKLAN",6,1.6,0,9.8,17.8,1.6,0,0.4,0,0,0,31.2,83.6
318,"UBAY, BOHOL",7,0,0,0,0,0,0.8,3.8,4.4,2,1.8,12.8,318,"UBAY, BOHOL",7,2.6,1.4,6.6,0.2,21.7,0,0,0,16.2,0,48.7,318,"UBAY, BOHOL",7,0.8,0,0,0,0,0,0,0,0,0,0.8,62.3
880,"T'BOLI, SOUTH COTABATO",12,0,0,0,0,0,0,0,0,0,0,0,880,"T'BOLI, SOUTH COTABATO",12,7,23.4,1.8,37.2,3,0.2,15.6,26.2,0.2,9.8,124.4,880,"T'BOLI, SOUTH COTABATO",12,0.2,14.4,42.8,23.4,22,0.2,0,0.4,0,2.8,106.2,230.6
916,"MAGALANG, PAMPANGA",3,0,0,0,0,0,0,0,0,18.6,0,18.6,916,"MAGALANG, PAMPANGA",3,0,0,0,0,0,0,0,0,0,0,0,916,"MAGALANG, PAMPANGA",3,0,0,0,0,16.6,0,0,0,0,3,19.6,38.2
873,"GINGOOG CITY, MISAMIS ORIENTAL",10,0,0,0,0,0,24.4,20.2,4.4,2.6,3,54.6,873,"GINGOOG CITY, MISAMIS ORIENTAL",10,2.4,26.4,7.2,2.4,2.8,15.8,3.2,0.2,0,0,60.4,873,"GINGOOG CITY, MISAMIS ORIENTAL",10,0,0,0,0,32.6,0,0.8,0,0,0,33.4,148.4
