,,,July 2014,,,,,,,,,,,,,,July 2014,,,,,,,,,,,,,,July 2014,,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,31,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,36.2,18.8,,,,,0.2,0.0,2.6,0.0,57.8,885,"MAINIT, SURIGAO DEL NORTE","13",3.6,0.0,0.0,7.0,0.0,5.2,0.0,26.0,48.4,10.0,100.2,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,0.0,0.0,0.2,33.2,68.8,0.0,,,0.0,0.0,102.2,260.2
881,"KORONADAL, SOUTH COTABATO",12,0.2,6.4,2.6,0.0,29.6,0.2,0.0,6.8,2.0,2.4,50.2,881,"KORONADAL, SOUTH COTABATO","12",4.0,0.6,1.0,4.6,0.6,0.0,0.0,0.0,0.0,0.0,10.8,881,"KORONADAL, SOUTH COTABATO","12",0.0,0.0,0.0,2.4,4.8,2.6,8.8,0.8,3.6,0.0,0.0,23,84
893,"PROSPERIDAD, AGUSAN DEL SUR",13,0.0,0.0,0.2,15.2,0.2,0.0,0.0,0.0,79.0,7.4,102,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,7.8,0.0,13.4,19.6,0.0,3.0,2.8,0.0,46.6,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,1.4,150
862,"TABUK, KALINGA",CAR,24.2,0.0,6.0,4.6,23.8,6.6,0.0,16.4,0.0,2.6,84.2,862,"TABUK, KALINGA","CAR",0.2,0.0,0.0,0.0,7.4,0.0,0.0,49.6,5.8,4.4,67.4,862,"TABUK, KALINGA","CAR",13.4,0.0,0.0,0.0,26.2,0.0,0.2,24.6,3.2,0.2,0.0,67.8,219.4
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,2.4,20.4,41.2,23.2,0.0,1.2,0.4,0.0,,,88.8,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,,88.8
375,"DULAG, LEYTE",8,0.2,13.0,0.6,2.6,2.0,0.0,0.0,0.0,0.0,0.0,18.4,375,"DULAG, LEYTE","8",0.0,,,,,,,,,,0,375,"DULAG, LEYTE","8",,,,,,,,,,,,,18.4
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,10.2,0.0,28.0,0.4,10.8,40.0,22.8,9.8,0.4,6.4,128.8,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,,,,,0.0,,,,0,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",,,,,,5.2,,,,,,5.2,134
373,"TANAY, RIZAL",4-A,3.4,0.0,12.0,15.4,26.8,26.2,2.6,2.8,6.0,0.2,95.4,373,"TANAY, RIZAL","4-A",2.8,0.4,0.2,0.4,109.8,10.0,3.6,1.6,4.0,3.2,136,373,"TANAY, RIZAL","4-A",12.4,13.0,8.4,6.2,1.4,27.8,3.2,3.4,2.8,12.0,12.6,103.2,334.6
366,"ISING, DAVAO DEL NORTE",11,11.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.4,52.8,366,"ISING, DAVAO DEL NORTE","11",0.0,,,,,,,,,,0,366,"ISING, DAVAO DEL NORTE","11",,,,,,,,,,,,,52.8
