,,,March 2014,,,,,,,,,,,,,,March 2014,,,,,,,,,,,,,,March 2014,,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,31,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,0.0,4.8,5.6,0.0,7.2,0.0,1.8,0.6,5.0,6.2,31.2,885,"MAINIT, SURIGAO DEL NORTE","13",76.8,47.0,1.0,13.8,0.0,,,204.8,30.0,28.0,401.4,885,"MAINIT, SURIGAO DEL NORTE","13",63.2,168.4,6.2,0.0,3.0,15.4,0.2,0.0,40.8,0.0,0.0,297.2,729.8
881,"KORONADAL, SOUTH COTABATO",12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,881,"KORONADAL, SOUTH COTABATO","12",0.0,0.0,0.6,0.0,0.0,,,2.2,6.4,2.4,11.6,881,"KORONADAL, SOUTH COTABATO","12",5.4,14.2,61.6,0.2,0.4,0.2,2.0,0.2,0.0,0.0,0.0,84.2,95.8
893,"PROSPERIDAD, AGUSAN DEL SUR",13,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.0,2.0,2.0,5.8,893,"PROSPERIDAD, AGUSAN DEL SUR","13",54.6,61.8,13.6,2.8,0.0,,,105.8,15.8,6.0,260.4,893,"PROSPERIDAD, AGUSAN DEL SUR","13",11.6,1.4,4.8,35.2,19.0,9.4,44.2,0.0,2.8,4.8,0.0,133.2,399.4
862,"TABUK, KALINGA",CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,862,"TABUK, KALINGA","CAR",11.4,0.2,0.0,0.0,,,,0.0,0.0,0.0,11.6,862,"TABUK, KALINGA","CAR",0.0,0.0,0.0,0.6,,3.0,0.0,0.0,3.8,0.0,0.0,7.4,19.8
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,,
375,"DULAG, LEYTE",8,0.0,0.2,1.6,16.4,0.0,0.0,0.0,0.0,0.0,0.0,18.2,375,"DULAG, LEYTE","8",3.4,33.6,73.2,19.2,6.8,0.0,0.0,0.0,0.0,17.0,153.2,375,"DULAG, LEYTE","8",12.6,53.4,125.2,60.2,1.8,10.2,9.2,2.4,1.2,0.2,0.0,276.4,447.8
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,10.4,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,3.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.4,13.8
373,"TANAY, RIZAL",4-A,0.0,0.0,0.0,0.0,0.0,2.8,6.0,0.0,0.4,2.8,12,373,"TANAY, RIZAL","4-A",3.2,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,7.4,373,"TANAY, RIZAL","4-A",0.6,0.0,4.2,7.4,6.0,0.0,0.0,0.4,0.0,0.0,0.0,18.6,38
366,"ISING, DAVAO DEL NORTE",11,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,366,"ISING, DAVAO DEL NORTE","11",11.2,3.2,0.0,23.4,8.4,0.8,1.2,21.6,15.4,3.8,89,366,"ISING, DAVAO DEL NORTE","11",2.2,7.2,14.8,3.6,1.8,7.2,2.6,0.8,2.4,0.0,0.0,42.6,131.6
368,"KITCHARAO, AGUSAN DEL NORTE",13,0.0,0.0,6.0,0.2,1.8,0.0,0.0,0.0,0.0,3.6,11.6,368,"KITCHARAO, AGUSAN DEL NORTE","13",88.4,18.8,0.8,5.4,0.2,10.8,30.8,210.2,115.4,20.8,501.6,368,"KITCHARAO, AGUSAN DEL NORTE","13",42.0,142.8,8.2,0.8,0.2,6.6,0.6,0.0,3.2,0.2,0.0,204.6,717.8
