,,,January 2015,,,,,,,,,,,,,,January 2015,,,,,,,,,,,,,,January 2015,,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,31,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,,,,,,,,,,,,885,"MAINIT, SURIGAO DEL NORTE","13",,,,,,,,,,,,885,"MAINIT, SURIGAO DEL NORTE","13",,,,,,,,,,,,,
881,"KORONADAL, SOUTH COTABATO",12,11.4,0.0,0.0,0.0,,6.8,12.2,0.0,0.2,0.0,30.6,881,"KORONADAL, SOUTH COTABATO","12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,881,"KORONADAL, SOUTH COTABATO","12",24.4,0.0,0.0,5.4,0.0,10.8,0.0,0.0,0.0,1.8,0.0,42.4,73
893,"PROSPERIDAD, AGUSAN DEL SUR",13,0.0,49.6,2.6,25.6,,9.6,23.8,35.8,112.6,0.0,259.6,893,"PROSPERIDAD, AGUSAN DEL SUR","13",14.4,38.4,15.6,0.0,0.0,0.0,0.0,32.0,37.6,0.2,138.2,893,"PROSPERIDAD, AGUSAN DEL SUR","13",1.2,0.2,5.2,43.8,7.8,33.2,0.0,1.4,29.4,6.4,0.4,129,526.8
862,"TABUK, KALINGA",CAR,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,0.2,862,"TABUK, KALINGA","CAR",1.0,,0.0,0.0,0.8,0.0,0.0,,,0.0,1.8,862,"TABUK, KALINGA","CAR",0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,2.6
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,16.2,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,16.6
375,"DULAG, LEYTE",8,4.6,37.4,57.6,12.8,,0.0,3.4,2.0,2.8,0.6,121.2,375,"DULAG, LEYTE","8",2.2,13.4,2.6,0.2,0.0,0.2,16.0,0.0,0.0,27.0,61.6,375,"DULAG, LEYTE","8",4.2,0.0,25.6,10.2,16.8,2.2,0.2,0.0,9.4,0.2,7.4,76.2,259
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8,1.0,1.8,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,1.2,1.4,0.0,3.0,0.8,1.0,8.2,3.0,1.6,20.2,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,1.6,0.0,2.8,0.0,1.6,1.8,0.0,2.0,0.6,0.4,10.8,32.8
373,"TANAY, RIZAL",4-A,4.6,0.0,0.0,0.0,,0.0,0.0,1.8,1.4,0.0,7.8,373,"TANAY, RIZAL","4-A",0.0,0.0,0.0,0.4,0.0,0.0,0.0,45.4,0.2,0.0,46,373,"TANAY, RIZAL","4-A",0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.4,0.2,0.2,2.2,56
366,"ISING, DAVAO DEL NORTE",11,5.6,1.4,0.2,14.8,,26.0,2.0,0.0,15.8,0.0,65.8,366,"ISING, DAVAO DEL NORTE","11",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,74.4,10.4,90,366,"ISING, DAVAO DEL NORTE","11",0.4,0.2,0.0,0.0,0.0,5.0,0.0,0.0,20.2,33.4,0.0,59.2,215
