,,,February 2016,,,,,,,,,,,,,,February 2016,,,,,,,,,,,,,,February 2016,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,,,,,,,,,,,,885,"MAINIT, SURIGAO DEL NORTE","13",,,,,,,,,,,,885,"MAINIT, SURIGAO DEL NORTE","13",,,,,,,,,,,
881,"KORONADAL, SOUTH COTABATO",12,,,,,,0.0,0.0,0.0,0.0,0.0,0,881,"KORONADAL, SOUTH COTABATO","12",0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,881,"KORONADAL, SOUTH COTABATO","12",0.0,0.0,0.0,,,,,,,0,1.8
893,"PROSPERIDAD, AGUSAN DEL SUR",13,,,,,,,,,,,,893,"PROSPERIDAD, AGUSAN DEL SUR","13",,,,,,,,,,,,893,"PROSPERIDAD, AGUSAN DEL SUR","13",,,,,,,,,,,
862,"TABUK, KALINGA",CAR,,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,
375,"DULAG, LEYTE",8,,,,,,,,,,,,375,"DULAG, LEYTE","8",,,,,,,,,,,,375,"DULAG, LEYTE","8",,,,,,,,,,,
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,,,,,,,,,,,,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",,,,,,,,,,,,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",,,,,,,,,,,
373,"TANAY, RIZAL",4-A,,,,,,,,,,,,373,"TANAY, RIZAL","4-A",,,,,,,,,,,,373,"TANAY, RIZAL","4-A",,,,,,,,,,,
366,"ISING, DAVAO DEL NORTE",11,,,,,,,,,,,,366,"ISING, DAVAO DEL NORTE","11",,,,,,,,,,,,366,"ISING, DAVAO DEL NORTE","11",,,,,,,,,,,
368,"KITCHARAO, AGUSAN DEL NORTE",13,9.2,7.8,0.0,0.0,0.0,0.0,0.0,1.8,5.2,5.2,29.2,368,"KITCHARAO, AGUSAN DEL NORTE","13",3.0,5.6,14.6,9.2,0.0,0.0,3.8,0.0,0.0,0.0,36.2,368,"KITCHARAO, AGUSAN DEL NORTE","13",1.2,0.0,0.0,9.0,6.2,14.2,10.8,0.0,0.0,41.4,106.8
875,"LASAM, CAGAYAN",2,0.0,5.4,1.2,0.6,9.6,4.8,1.8,0.0,1.0,0.0,24.4,875,"LASAM, CAGAYAN","2",0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,875,"LASAM, CAGAYAN","2",4.4,0.4,2.2,1.8,1.2,2.6,0.0,0.0,7.6,20.2,45.2
869,"MALAYBALAY, BUKIDNON",10,0.2,0.0,4.0,10.0,0.2,2.0,0.4,0.0,7.8,13.6,38.2,869,"MALAYBALAY, BUKIDNON","10",49.8,0.4,0.0,0.0,0.4,0.4,21.2,15.2,8.8,5.6,101.8,869,"MALAYBALAY, BUKIDNON","10",30.6,9.0,0.2,0.8,28.2,1.4,0.0,0.0,0.6,70.8,210.8
