,,,May 2016,,,,,,,,,,,,,,May 2016,,,,,,,,,,,,,,May 2016,,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,31,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,,,,,,,,,,,,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,,,,,,,,,,0,885,"MAINIT, SURIGAO DEL NORTE","13",,,,,,,,,,,,,0
881,"KORONADAL, SOUTH COTABATO",12,,,,,,,,,,,,881,"KORONADAL, SOUTH COTABATO","12",,,,,,,,,,,,881,"KORONADAL, SOUTH COTABATO","12",,,,,,,,,,,,,
893,"PROSPERIDAD, AGUSAN DEL SUR",13,,2.2,0.0,1.4,5.2,0.0,22.6,23.0,7.4,0.0,61.8,893,"PROSPERIDAD, AGUSAN DEL SUR","13",3.6,0.0,4.0,18.0,2.4,7.2,0.0,0.4,0.0,1.4,37,893,"PROSPERIDAD, AGUSAN DEL SUR","13",1.0,32.8,0.4,5.4,2.8,2.4,2.8,8.2,1.2,9.8,0.0,66.8,165.6
862,"TABUK, KALINGA",CAR,,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,18.8,21.2,3.4,43.4,862,"TABUK, KALINGA","CAR",15.4,,41.8,2.4,4.2,0.2,26.4,13.6,58.0,0.0,7.8,169.8,213.2
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,,
375,"DULAG, LEYTE",8,,,,,,,,,,,,375,"DULAG, LEYTE","8",,,,,,,,,,,,375,"DULAG, LEYTE","8",,,,,,,,,,,,,
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,,,,,,,,,,,,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",,,,,,,,,,,,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",,,,,,,,,,,,,
373,"TANAY, RIZAL",4-A,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,373,"TANAY, RIZAL","4-A",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3.0,0.2,5,373,"TANAY, RIZAL","4-A",0.0,6.0,23.0,19.6,13.2,2.8,9.6,2.6,16.8,0.2,7.2,101,106
366,"ISING, DAVAO DEL NORTE",11,,,,,,,,,,,,366,"ISING, DAVAO DEL NORTE","11",15.2,5.4,0.0,4.8,1.2,0.0,0.0,0.0,1.8,0.0,28.4,366,"ISING, DAVAO DEL NORTE","11",3.2,1.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.4,0.0,5,33.4
368,"KITCHARAO, AGUSAN DEL NORTE",13,,,,,,,,,,,,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.0,0.0,0.6,7.8,0.4,0.0,0.0,0.0,0.0,0.0,8.8,368,"KITCHARAO, AGUSAN DEL NORTE","13",1.0,57.8,0.0,0.0,11.8,0.0,6.6,14.0,0.4,5.6,0.0,97.2,106
875,"LASAM, CAGAYAN",2,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.6,875,"LASAM, CAGAYAN","2",0.0,0.0,0.0,6.7,0.0,0.0,6.8,0.0,0.0,0.0,13.5,875,"LASAM, CAGAYAN","2",55.6,0.0,11.2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,66.8,127.9
869,"MALAYBALAY, BUKIDNON",10,,,,,,,,,,,,869,"MALAYBALAY, BUKIDNON","10",,,,,,,,,,,,869,"MALAYBALAY, BUKIDNON","10",,,,,,,,,,,,,
361,"VITALI DISTRICT, ZAMBOANGA CITY",9,10.8,0.0,0.2,3.0,0.2,0.0,0.0,0.4,0.6,0.0,15.2,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",0.0,0.6,0.0,64.2,0.0,59.6,2.2,0.0,0.0,5.6,132.2,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",3.0,76.2,7.6,0.0,11.4,0.0,2.4,5.2,0.2,1.2,0.0,107.2,254.6
933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",ARMM,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
900,"CATUBIG, NORTHERN SAMAR",8,,,,,,,,,,,,900,"CATUBIG, NORTHERN SAMAR","8",,,,,,,,,,,,900,"CATUBIG, NORTHERN SAMAR","8",,,,,,,,,,,,,
367,"PLARIDEL, MISAMIS OCCIDENTAL",10,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,5.2,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",101.0,4.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,106,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",0.0,3.2,8.8,24.0,49.6,0.0,8.6,0.0,0.0,0.4,0.2,94.8,206
