,,,June 2018,,,,,,,,,,,,,,June 2018,,,,,,,,,,,,,,June 2018,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,,,,,,,,,,,,885,"MAINIT, SURIGAO DEL NORTE","13",,,,,,,,,,,,885,"MAINIT, SURIGAO DEL NORTE","13",,,,,,,,,,,,
881,"KORONADAL, SOUTH COTABATO",12,,,0.0,,,,0.0,0.0,0.0,0.0,0,881,"KORONADAL, SOUTH COTABATO","12",,0.0,0.8,1.8,0.2,4.8,0.4,0.2,0.0,43.6,51.8,881,"KORONADAL, SOUTH COTABATO","12",7.4,0.0,0.2,0.0,13.8,0.0,6.4,0.0,0.6,0.0,28.4,80.2
893,"PROSPERIDAD, AGUSAN DEL SUR",13,,,,,,,,,,,,893,"PROSPERIDAD, AGUSAN DEL SUR","13",,,,,,,,0.0,1.0,,1,893,"PROSPERIDAD, AGUSAN DEL SUR","13",,,,,,,,,,,,1
862,"TABUK, KALINGA",CAR,,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,0.0,7.2,0.0,0.2,0.0,7.8,0.0,0.4,11.2,16.8,43.6,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",17.2,3.6,14.6,20.4,53.2,11.0,7.8,0.0,0.0,9.4,137.2,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",68.0,6.4,26.0,0.8,1.6,0.0,0.0,0.0,0.0,4.0,106.8,287.6
375,"DULAG, LEYTE",8,,,,,,,,,,,,375,"DULAG, LEYTE","8",,,,,,,,,,,,375,"DULAG, LEYTE","8",,,,,,,,,,,,
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,27.2,9.4,0.0,0.0,32.4,0.2,0.0,0.0,23.6,5.6,98.4,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",,,10.0,18.2,15.6,1.8,0.8,0.2,1.2,0.0,47.8,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",7.0,48.6,4.6,8.2,1.2,1.0,5.8,0.0,14.0,0.0,90.4,236.6
373,"TANAY, RIZAL",4-A,,,,,,,,,,,,373,"TANAY, RIZAL","4-A",,,,,,,,,,,,373,"TANAY, RIZAL","4-A",,,,,,,,,,,,
366,"ISING, DAVAO DEL NORTE",11,,,,,,,,,,,,366,"ISING, DAVAO DEL NORTE","11",,,,,,,,,,,,366,"ISING, DAVAO DEL NORTE","11",,,,,,,,,,,,
368,"KITCHARAO, AGUSAN DEL NORTE",13,,,,,,,,,,,,368,"KITCHARAO, AGUSAN DEL NORTE","13",,,,,,,,,,,,368,"KITCHARAO, AGUSAN DEL NORTE","13",,,,,,,,,,,,
