,,,November 2018,,,,,,,,,,,,,,November 2018,,,,,,,,,,,,,,November 2018,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,0.0,0.0,1.8,0.0,0.0,0.0,27.4,3.2,17.2,4.0,53.6,885,"MAINIT, SURIGAO DEL NORTE","13",5.6,11.4,0.0,0.2,4.8,2.8,0.0,0.0,35.8,5.4,66,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,5.8,0.0,0.0,5.2,3.8,18.0,7.2,4.8,0.0,44.8,164.4
881,"KORONADAL, SOUTH COTABATO",12,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,881,"KORONADAL, SOUTH COTABATO","12",0.0,0.2,0.4,0.2,20.2,0.0,0.0,0.0,0.0,0.0,21,881,"KORONADAL, SOUTH COTABATO","12",0.0,0.0,0.0,1.2,0.0,0.2,0.0,0.0,0.0,0.0,1.4,23.6
893,"PROSPERIDAD, AGUSAN DEL SUR",13,723.0,595.8,311.0,1087.2,844.4,453.0,460.6,814.6,1228.8,470.2,6988.6,893,"PROSPERIDAD, AGUSAN DEL SUR","13",64.4,120.0,93.8,293.0,252.8,152.6,423.0,855.8,325.2,148.0,2728.6,893,"PROSPERIDAD, AGUSAN DEL SUR","13",245.8,290.2,246.2,206.6,24.4,76.8,4.4,23.0,0.6,0.0,1118,10835.2
862,"TABUK, KALINGA",CAR,,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,1.6,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.6,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,2.6,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,0.0,0,7.2
375,"DULAG, LEYTE",8,0.0,0.2,1.0,25.4,55.4,7.8,0.0,0.0,15.0,107.0,211.8,375,"DULAG, LEYTE","8",0.4,23.4,12.2,24.4,9.8,3.0,17.0,3.2,34.8,19.2,147.4,375,"DULAG, LEYTE","8",2.6,1.0,0.0,0.0,7.8,0.0,1.6,0.2,20.2,37.4,70.8,430
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
373,"TANAY, RIZAL",4-A,0.0,0.0,0.0,0.0,1.2,3.0,0.2,3.4,3.6,0.0,11.4,373,"TANAY, RIZAL","4-A",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,373,"TANAY, RIZAL","4-A",3.8,6.2,4.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,14.4,25.8
366,"ISING, DAVAO DEL NORTE",11,10.2,5.2,1.0,0.0,12.8,0.0,0.8,4.8,0.0,0.4,35.2,366,"ISING, DAVAO DEL NORTE","11",0.8,0.0,8.0,0.0,20.0,0.0,0.0,0.0,0.4,0.2,29.4,366,"ISING, DAVAO DEL NORTE","11",0.0,2.6,15.8,0.0,3.0,0.0,0.0,0.2,0.4,0.4,22.4,87
368,"KITCHARAO, AGUSAN DEL NORTE",13,0.0,1.2,17.8,29.8,3.6,5.6,3.6,0.4,6.2,26.2,94.4,368,"KITCHARAO, AGUSAN DEL NORTE","13",36.4,19.4,0.0,1.0,10.0,1.6,0.2,16.8,78.8,7.6,171.8,368,"KITCHARAO, AGUSAN DEL NORTE","13",3.4,0.0,0.0,0.0,7.8,12.8,0.8,8.8,5.8,3.4,42.8,309
875,"LASAM, CAGAYAN",2,,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,
869,"MALAYBALAY, BUKIDNON",10,,,,,,,,,,,,869,"MALAYBALAY, BUKIDNON","10",0.4,5.0,2.8,51.0,106.0,0.0,,,,,165.2,869,"MALAYBALAY, BUKIDNON","10",,,,,,,,,,0.0,0,165.2
361,"VITALI DISTRICT, ZAMBOANGA CITY",9,1.8,2.6,0.8,3.2,21.8,0.0,0.4,0.0,0.0,4.2,34.8,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",0.0,0.0,12.2,0.0,0.2,47.0,0.0,0.0,0.0,0.0,59.4,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",0.0,4.6,16.8,1.4,0.0,0.0,0.0,0.0,0.0,0.0,22.8,117
933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",ARMM,19.2,8.4,76.2,1.0,27.6,3.2,19.8,0.0,0.0,0.0,155.4,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.2,0.0,14.4,0.4,16.8,0.2,1.4,0.0,0.0,0.2,33.6,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,189
900,"CATUBIG, NORTHERN SAMAR",8,0.0,3.2,7.2,1.0,1.2,1.8,0.0,0.0,1.4,0.4,16.2,900,"CATUBIG, NORTHERN SAMAR","8",5.2,,0.2,0.0,0.0,0.0,,,0.6,199.4,205.4,900,"CATUBIG, NORTHERN SAMAR","8",,,0.0,,,,0.4,0.4,3.2,6.6,10.6,232.2
367,"PLARIDEL, MISAMIS OCCIDENTAL",10,,,,,,,,,,,,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",,,,,,,,,,,,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",,,,,,,,,,,,
853,"BANGA, AKLAN",6,4.6,2.0,4.6,0.0,21.6,16.4,1.4,1.6,4.2,2.0,58.4,853,"BANGA, AKLAN","6",15.2,0.2,16.4,43.2,30.4,12.2,3.2,0.0,6.2,9.0,136,853,"BANGA, AKLAN","6",1.2,0.2,0.0,0.0,,,,,,,1.4,195.8
318,"UBAY, BOHOL",7,0.0,0.2,19.4,5.4,1.4,2.2,0.0,0.8,6.8,13.2,49.4,318,"UBAY, BOHOL","7",0.2,18.2,0.0,0.0,0.0,0.6,5.8,0.0,9.6,49.0,83.4,318,"UBAY, BOHOL","7",0.0,0.0,0.0,0.0,0.8,0.0,0.0,9.0,0.0,0.0,9.8,142.6
880,"T'BOLI, SOUTH COTABATO",12,0.0,0.0,0.0,4.6,1.6,0.0,0.0,18.6,0.0,0.0,24.8,880,"T'BOLI, SOUTH COTABATO","12",2.8,49.2,4.6,0.0,28.4,0.0,10.2,0.0,0.0,0.0,95.2,880,"T'BOLI, SOUTH COTABATO","12",0.0,0.0,0.2,0.8,0.0,1.0,0.0,0.0,0.0,0.0,2,122
916,"MAGALANG, PAMPANGA",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,916,"MAGALANG, PAMPANGA","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,916,"MAGALANG, PAMPANGA","3",0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,0
873,"GINGOOG CITY, MISAMIS ORIENTAL",10,0.0,1.2,32.6,0.2,0.0,0.0,1.8,0.0,,,35.8,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",,,,,,,,,,,,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",,,,,,,,,,,,35.8
342,"PAMPLONA, CAMARINES SUR",5,0.4,0.0,8.4,0.0,16.2,1.4,22.8,1.6,0.0,4.4,55.2,342,"PAMPLONA, CAMARINES SUR","5",0.0,5.6,0.0,0.6,7.2,0.0,0.6,0.0,0.0,10.8,24.8,342,"PAMPLONA, CAMARINES SUR","5",3.8,8.4,0.4,0.0,0.2,0.0,0.2,0.0,0.0,0.0,13,93
348,"BAIS, NEGROS ORIENTAL",7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,348,"BAIS, NEGROS ORIENTAL","7",0.0,0.0,0.0,0.2,0.0,0.2,0.2,5.4,0.8,11.8,18.6,348,"BAIS, NEGROS ORIENTAL","7",5.6,0.0,14.6,0.0,1.0,0.0,0.0,0.6,0.0,0.0,21.8,40.4
929,"PALAYAN CITY, NUEVA ECIJA",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,929,"PALAYAN CITY, NUEVA ECIJA","3",0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.4,929,"PALAYAN CITY, NUEVA ECIJA","3",0.0,0.0,,,,,,,,0.0,0,1.4
1552,"TUMAUINI(BRGY. ARCON), ISABELA",2,8.4,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,10,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",6.6,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,9.4,21.6
876,"ABULUG, CAGAYAN",2,,,,,,,,,,,,876,"ABULUG, CAGAYAN","2",,,,,,,,,,,,876,"ABULUG, CAGAYAN","2",,,,,,,,,,,,
357,"POLANCO, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,
1143,"MASBATE, MASBATE",5,0.0,0.0,0.0,12.6,5.0,1.6,11.8,5.6,7.0,9.6,53.2,1143,"MASBATE, MASBATE","5",0.0,0.0,0.0,4.4,0.2,2.0,4.2,0.0,18.4,23.2,52.4,1143,"MASBATE, MASBATE","5",0.0,2.2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.2,107.8
344,"LABO, CAMARINES NORTE",5,0.0,0.6,4.2,4.8,21.8,8.6,1.4,19.6,5.6,3.4,70,344,"LABO, CAMARINES NORTE","5",10.6,25.4,0.0,5.6,0.0,0.0,0.0,2.6,0.0,18.0,62.2,344,"LABO, CAMARINES NORTE","5",27.8,2.6,5.2,10.2,0.6,0.0,5.2,10.0,23.0,10.6,95.2,227.4
922,"ROXAS PALAWAN, PALAWAN",4-B,0.0,1.4,2.2,1.0,0.8,0.8,0.6,0.6,0.2,0.4,8,922,"ROXAS PALAWAN, PALAWAN","4-B",0.2,0.4,0.0,0.6,1.0,0.6,0.6,0.8,0.6,0.8,5.6,922,"ROXAS PALAWAN, PALAWAN","4-B",0.8,1.2,1.2,1.0,1.0,1.0,0.8,1.2,0.8,0.8,9.8,23.4
329,"SAN ANTONIO, QUEZON",4-A,0.0,0.0,0.0,0.0,9.8,0.0,3.0,3.8,4.6,0.0,21.2,329,"SAN ANTONIO, QUEZON","4-A",0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,329,"SAN ANTONIO, QUEZON","4-A",4.0,0.0,0.0,0.0,0.0,,,3.2,0.0,,7.2,29
378,"BABATNGON, LEYTE",8,,,,,,,,,0.0,17.2,17.2,378,"BABATNGON, LEYTE","8",,,,,0.2,,,,,,0.2,378,"BABATNGON, LEYTE","8",3.4,0.0,,5.4,0.0,0.0,0.0,13.6,0.0,0.0,22.4,39.8
354,"NAVAL, BILIRAN",8,0.0,0.0,9.2,3.0,47.8,1.0,0.0,0.0,7.6,9.4,78,354,"NAVAL, BILIRAN","8",2.2,0.0,12.4,27.4,0.2,0.0,13.0,0.2,14.6,16.0,86,354,"NAVAL, BILIRAN","8",0.0,43.6,0.0,0.0,0.0,0.0,0.2,2.6,1.4,23.6,71.4,235.4
899,"CAN-AVID, EASTERN SAMAR",8,0.4,6.2,2.4,6.8,0.0,0.0,0.2,1.0,0.6,0.0,17.6,899,"CAN-AVID, EASTERN SAMAR","8",0.2,0.0,0.0,0.2,0.0,0.2,0.4,0.2,2.0,0.0,3.2,899,"CAN-AVID, EASTERN SAMAR","8",0.0,0.0,,0.2,0.2,0.0,0.0,0.2,0.0,0.8,1.4,22.2
363,"SULOP, POBLACION, DAVAO DEL SUR",11,0.0,11.4,0.0,0.0,16.6,0.0,0.0,0.4,0.0,0.0,28.4,363,"SULOP, POBLACION, DAVAO DEL SUR","11",0.0,3.6,5.4,0.6,17.4,0.0,0.0,0.0,0.0,0.0,27,363,"SULOP, POBLACION, DAVAO DEL SUR","11",0.0,2.6,0.0,0.0,0.0,,,0.0,0.0,,2.6,58
870,"LANAO DEL NORTE, LANAO DEL NORTE",10,,,,,,,,,,,,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",,,,,,,,,,,,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",,,,,,,,,,,,
898,"SAN MIGUEL, LEYTE",8,0.0,8.2,15.0,1.6,18.4,0.2,0.0,0.2,12.2,26.2,82,898,"SAN MIGUEL, LEYTE","8",4.4,7.2,9.8,44.6,0.8,11.8,3.8,0.0,19.6,10.8,112.8,898,"SAN MIGUEL, LEYTE","8",2.2,2.8,7.8,0.0,3.2,0.0,8.4,7.2,0.0,25.6,57.2,252
902,"GERONA, TARLAC",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,902,"GERONA, TARLAC","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,902,"GERONA, TARLAC","3",,,,,,,,,,0.0,0,0
987,"BASILAN, ISABELA CITY",9,,,,,,,,,,,,987,"BASILAN, ISABELA CITY","9",,,,,,,,,,,,987,"BASILAN, ISABELA CITY","9",,,,,,,,,,,,
376,"PIGCAWAYAN, COTABATO",12,,,,,,,,0.0,0.0,4.8,4.8,376,"PIGCAWAYAN, COTABATO","12",0.2,0.0,1.2,0.0,0.4,0.0,2.8,0.0,0.0,1.2,5.8,376,"PIGCAWAYAN, COTABATO","12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.6
919,"PATNONGON, ANTIQUE",6,,,,,,,,,,,,919,"PATNONGON, ANTIQUE","6",,,,,,,,,,,,919,"PATNONGON, ANTIQUE","6",,,,,,,,,,,,
918,"SAN LUIS, AURORA",3,0.8,0.0,0.2,0.0,0.0,23.2,0.2,0.0,0.0,0.0,24.4,918,"SAN LUIS, AURORA","3",0.0,0.0,1.8,16.4,0.0,0.0,0.0,,,,18.2,918,"SAN LUIS, AURORA","3",,,,,,,,,,,,42.6
932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO",ARMM,0.2,26.6,23.2,2.4,13.2,3.8,0.0,0.0,0.0,0.0,69.4,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",1.0,0.2,22.0,0.2,0.0,0.0,0.0,0.0,0.0,3.2,26.6,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,98
349,"SIQUIJOR, SIQUIJOR",7,0.0,0.0,52.6,14.2,0.2,0.0,0.0,0.0,0.0,0.2,67.2,349,"SIQUIJOR, SIQUIJOR","7",1.4,12.6,3.6,5.4,8.0,0.0,0.2,12.0,0.0,8.4,51.6,349,"SIQUIJOR, SIQUIJOR","7",0.8,0.0,0.0,0.0,14.8,0.2,0.0,0.0,0.0,0.0,15.8,134.6
356,"KALAWIT, ZAMBOANGA DEL NORTE",9,6.6,25.8,2.2,1.0,14.0,4.6,0.6,0.0,0.0,0.0,54.8,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",0.4,0.0,5.4,5.0,0.4,7.6,0.0,0.0,0.0,7.4,26.2,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",9.4,26.4,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,37.6,118.6
924,"PANIT-AN, CAPIZ",6,,,,,,,,,,,,924,"PANIT-AN, CAPIZ","6",,,,,,,,,,,,924,"PANIT-AN, CAPIZ","6",,,,,,,,,,,,
872,"KALILANGAN, BUKIDNON",10,,,,,,,,,,,,872,"KALILANGAN, BUKIDNON","10",,,,,,,,,,,,872,"KALILANGAN, BUKIDNON","10",,,,,,,,,,,,
340,"SUAL, PANGASINAN",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,340,"SUAL, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,340,"SUAL, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
359,"IPIL, ZAMBOANGA SIBUGAY",9,,,0.0,,,,,0.0,,,0,359,"IPIL, ZAMBOANGA SIBUGAY","9",,,,,,,,0.0,,,0,359,"IPIL, ZAMBOANGA SIBUGAY","9",,,,,,,,,,,,0
896,"BARILI, CEBU",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,896,"BARILI, CEBU","7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,896,"BARILI, CEBU","7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
878,"SEN. NINOY AQUINO, SULTAN KUDARAT",12,,,,,0.0,,,,,,0,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",,,,,,,,,,,,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",,,,,,,,,,,,0
1079,"PINAMALAYAN, ORIENTAL MINDORO",4-B,0.0,0.0,0.2,0.6,59.4,0.0,0.0,1.0,2.4,1.0,64.6,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",4.2,0.4,0.0,0.2,5.2,1.0,0.0,0.2,0.2,11.8,23.2,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",14.4,49.8,28.6,0.0,0.0,0.0,3.2,7.2,7.0,1.0,111.2,199
1141,"STA. BARBARA - ILOILO, ILOILO",6,,,,,,,,,,,,1141,"STA. BARBARA - ILOILO, ILOILO","6",,,,,,,,,,,,1141,"STA. BARBARA - ILOILO, ILOILO","6",,,,,,,,,,,,
903,"BOTOLAN, ZAMBALES",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,903,"BOTOLAN, ZAMBALES","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,903,"BOTOLAN, ZAMBALES","3",,,,,,,,,,0.0,0,0
927,"BAGO CITY, NEGROS OCCIDENTAL",6,,,,,,,,,,,,927,"BAGO CITY, NEGROS OCCIDENTAL","6",,,,,,,,,,,,927,"BAGO CITY, NEGROS OCCIDENTAL","6",,,,,,,,,,,,
316,"STO TOMAS, DAVAO DEL NORTE",11,,,,,,,,,,,,316,"STO TOMAS, DAVAO DEL NORTE","11",,,,,,,,,,,,316,"STO TOMAS, DAVAO DEL NORTE","11",,,,,,,,,,,,
879,"TACURONG CITY, SULTAN KUDARAT",12,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,6.2,7.2,879,"TACURONG CITY, SULTAN KUDARAT","12",11.4,0.0,1.4,0.0,41.6,0.0,0.0,0.0,0.0,0.0,54.4,879,"TACURONG CITY, SULTAN KUDARAT","12",0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.4,0.0,0.0,1.2,62.8
866,"GUINSILIBAN, CAMIGUIN",10,,,,,,,,,,,,866,"GUINSILIBAN, CAMIGUIN","10",,,,,,,,,,,,866,"GUINSILIBAN, CAMIGUIN","10",,,,0.0,0.0,,,,,,0,0
372,"ROXAS, ISABELA",2,,,,,,,,,,,,372,"ROXAS, ISABELA","2",,,,,,,,,,,,372,"ROXAS, ISABELA","2",,,,,,,,,,,,
890,"ESPERANZA, AGUSAN DEL SUR",13,,,,,,,,,,,,890,"ESPERANZA, AGUSAN DEL SUR","13",,,,,,,,,,,,890,"ESPERANZA, AGUSAN DEL SUR","13",,,,,,,,,,,,
