,,,October 2018,,,,,,,,,,,,,,October 2018,,,,,,,,,,,,,,October 2018,,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,31,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,31.4,6.8,3.6,0.0,0.0,19.2,0.0,0.0,0.0,0.0,61,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,1.6,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,2.6,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,,0.0,2.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,2.6,66.2
881,"KORONADAL, SOUTH COTABATO",12,,,,,,,,,,,,881,"KORONADAL, SOUTH COTABATO","12",,,,,,,0.4,3.4,0.0,22.4,26.2,881,"KORONADAL, SOUTH COTABATO","12",8.6,11.6,5.4,57.2,0.0,0.0,10.0,0.0,0.0,1.8,0.0,94.6,120.8
893,"PROSPERIDAD, AGUSAN DEL SUR",13,945.2,880.4,752.2,977.2,669.4,1138.6,815.0,858.8,804.8,528.8,8370.4,893,"PROSPERIDAD, AGUSAN DEL SUR","13",230.0,926.8,672.2,230.0,543.8,709.8,952.6,445.4,691.0,118.0,5519.6,893,"PROSPERIDAD, AGUSAN DEL SUR","13",34.2,594.4,1222.6,889.2,17.0,867.8,553.4,1032.2,188.8,1079.8,819.2,7298.6,21188.6
862,"TABUK, KALINGA",CAR,,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,2.4,,2.4,862,"TABUK, KALINGA","CAR",,0.0,0.0,,,,,,,,,0,2.4
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,22.0,4.6,0.2,,,,,,,,26.8,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,72.4,0.0,73,99.8
375,"DULAG, LEYTE",8,4.4,1.4,0.0,0.0,6.6,0.0,0.0,1.0,0.0,0.0,13.4,375,"DULAG, LEYTE","8",0.0,0.0,2.4,21.2,17.6,0.0,1.2,0.0,6.2,9.2,57.8,375,"DULAG, LEYTE","8",0.6,1.0,0.8,18.6,6.0,0.0,0.0,0.0,4.8,0.0,2.6,34.4,105.6
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,0.2,1.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,11.2,12.8,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",10.6,0.2,0.0,2.4,0.0,3.0,0.0,0.0,0.0,0.0,16.2,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,70.6,0.0,71.2,100.2
373,"TANAY, RIZAL",4-A,10.4,0.0,28.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,39,373,"TANAY, RIZAL","4-A",0.0,0.0,0.0,0.6,0.2,0.4,7.6,5.4,259.6,87.6,361.4,373,"TANAY, RIZAL","4-A",0.0,0.0,0.2,110.8,0.0,0.0,463.8,573.6,218.8,170.4,67.6,1605.2,2005.6
366,"ISING, DAVAO DEL NORTE",11,0.0,28.8,26.6,0.0,47.6,0.0,0.0,1.0,0.2,0.0,104.2,366,"ISING, DAVAO DEL NORTE","11",3.2,16.0,27.6,0.0,0.4,3.0,49.4,10.2,0.0,14.4,124.2,366,"ISING, DAVAO DEL NORTE","11",2.6,10.2,0.2,0.0,0.0,16.0,1.2,1.4,0.0,0.0,1.6,33.2,261.6
