,,,August 2019,,,,,,,,,,,,,,August 2019,,,,,,,,,,,,,,August 2019,,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,31,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,16.0,0.0,0.0,32.4,32.6
881,"KORONADAL, SOUTH COTABATO",12,,,,,,,,,,,,881,"KORONADAL, SOUTH COTABATO","12",,,,,,,,,,,,881,"KORONADAL, SOUTH COTABATO","12",,,,,,,,,,,,,
893,"PROSPERIDAD, AGUSAN DEL SUR",13,0.0,0.0,0.0,0.0,0.0,,,,,,0,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,,0.0,93.8,460.2,0.4,0.0,0.0,0.0,554.4,893,"PROSPERIDAD, AGUSAN DEL SUR","13",28.8,0.0,113.2,42.4,98.0,299.2,147.4,23.2,127.0,87.8,175.2,1142.2,1696.6
862,"TABUK, KALINGA",CAR,2.8,0.8,2.6,16.8,0.2,0.0,0.0,0.0,0.6,0.0,23.8,862,"TABUK, KALINGA","CAR",0.0,0.2,16.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,17.6,862,"TABUK, KALINGA","CAR",0.0,0.0,1.0,0.0,0.0,3.0,46.4,0.0,4.8,27.2,4.0,86.4,127.8
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,7.6,1.2,0.2,0.0,1.4,0.8,15.4,12.4,30.0,0.0,69,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,0.0,0.0,0.0,1.8,0.0,1.8,0.4,4,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",14.2,0.8,0.0,39.6,4.0,14.0,1.2,1.4,19.8,2.4,6.0,103.4,176.4
375,"DULAG, LEYTE",8,0.0,0.0,0.0,0.0,0.0,,,,,,0,375,"DULAG, LEYTE","8",,,,0.0,0.0,0.0,,0.0,,,0,375,"DULAG, LEYTE","8",,0.0,0.0,0.0,,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,0.2,0.0,3.8,0.2,,,,,,,4.2,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",,,,,1.6,0.2,0.0,0.0,0.0,0.0,1.8,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,3.2,21.8,28.2,3.2,0.0,3.6,6.6,0.8,0.6,3.4,71.4,77.4
373,"TANAY, RIZAL",4-A,66.0,1455.2,556.2,108.4,33.6,5.2,11.2,35.4,59.4,15.0,2345.6,373,"TANAY, RIZAL","4-A",0.0,4.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.8,373,"TANAY, RIZAL","4-A",42.2,16.4,11.6,14.6,8.2,12.6,1.8,0.0,0.0,0.0,0.0,107.4,2459.8
366,"ISING, DAVAO DEL NORTE",11,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,4.4,366,"ISING, DAVAO DEL NORTE","11",0.0,0.0,0.0,12.4,20.8,0.2,23.4,2.4,22.0,1.8,83,366,"ISING, DAVAO DEL NORTE","11",0.0,0.0,0.0,0.0,4.8,0.0,2.8,8.4,4.0,28.4,6.4,54.8,142.2
368,"KITCHARAO, AGUSAN DEL NORTE",13,0.0,1.0,0.2,0.0,0.0,,,,,,1.2,368,"KITCHARAO, AGUSAN DEL NORTE","13",,,,0.0,0.0,0.0,0.0,0.0,3.8,1.0,4.8,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.0,0.0,0.0,0.0,25.8,83.6,0.0,0.4,4.0,0.2,1.4,115.4,121.4
875,"LASAM, CAGAYAN",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,875,"LASAM, CAGAYAN","2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,875,"LASAM, CAGAYAN","2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0
869,"MALAYBALAY, BUKIDNON",10,,,,,,,,,,,,869,"MALAYBALAY, BUKIDNON","10",,,,,,,,,,,,869,"MALAYBALAY, BUKIDNON","10",,,,,,,,,,,,,
361,"VITALI DISTRICT, ZAMBOANGA CITY",9,0.2,0.8,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,6.8,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.4,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",8.8,0.2,0.0,8.8,0.0,8.8,2.0,12.4,9.8,0.0,15.8,66.6,73.8
933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",ARMM,2.0,27.8,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,39.6,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.0,0.0,0.0,0.0,41.0,0.0,5.0,14.0,0.6,25.4,86,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",2.6,0.0,0.0,0.0,0.6,13.8,12.8,1.2,0.0,2.8,12.2,46,171.6
900,"CATUBIG, NORTHERN SAMAR",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,900,"CATUBIG, NORTHERN SAMAR","8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,900,"CATUBIG, NORTHERN SAMAR","8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
367,"PLARIDEL, MISAMIS OCCIDENTAL",10,,,,,,,,,,,,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",,,,,,,,,,,,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",,,,,,,,,,,,,
853,"BANGA, AKLAN",6,,,,,,,,,,,,853,"BANGA, AKLAN","6",,,,,,,,,,,,853,"BANGA, AKLAN","6",,,,,,,,,,,,,
318,"UBAY, BOHOL",7,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,318,"UBAY, BOHOL","7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.2,34.2,41.4,318,"UBAY, BOHOL","7",0.0,1.6,0.0,0.0,0.0,22.0,1.2,0.0,0.0,12.8,15.4,53,96.8
