,,,September 2019,,,,,,,,,,,,,,September 2019,,,,,,,,,,,,,,September 2019,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4
881,"KORONADAL, SOUTH COTABATO",12,,,,,,,,,,,,881,"KORONADAL, SOUTH COTABATO","12",,,,,,,,,,,,881,"KORONADAL, SOUTH COTABATO","12",,,,,0.0,0.2,0.2,,,0.0,0.4,0.4
893,"PROSPERIDAD, AGUSAN DEL SUR",13,1.6,0.0,21.6,146.4,0.6,,,0.0,0.0,0.8,171,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,52.0,202.8,16.4,53.2,79.8,17.4,33.8,0.8,456.2,893,"PROSPERIDAD, AGUSAN DEL SUR","13",,,35.6,96.4,14.6,103.0,9.4,,,0.0,259,886.2
862,"TABUK, KALINGA",CAR,0.0,0.0,0.0,0.0,0.0,0.0,17.8,1.6,0.0,6.0,25.4,862,"TABUK, KALINGA","CAR",4.2,3.4,0.0,0.0,0.0,8.8,1.6,1.4,18.4,44.4,82.2,862,"TABUK, KALINGA","CAR",0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,7.6,0.0,11.6,119.2
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,22.4,2.8,13.4,0.0,9.4,0.0,0.0,21.6,25.0,0.2,94.8,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,,,,,,,,,,0,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,0.0,8.2,1.0,9.2,104
375,"DULAG, LEYTE",8,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0,375,"DULAG, LEYTE","8",0.2,0.0,0.0,0.0,0.0,,,,,0.0,0.2,375,"DULAG, LEYTE","8",,,,0.0,,,,,,,0,0.2
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,5.0,0.0,0.2,0.0,0.4,,,19.2,5.6,7.2,37.6,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,9.0,0.0,46.6,1.0,27.6,51.4,48.2,21.6,24.6,230,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,,0.0,18.2,3.0,0.0,0.2,,,0.8,22.2,289.8
373,"TANAY, RIZAL",4-A,18.6,10.4,0.0,0.0,0.0,,,8.0,3.0,0.6,40.6,373,"TANAY, RIZAL","4-A",0.0,11.8,3.6,36.0,46.2,17.4,4.2,39.4,52.6,19.0,230.2,373,"TANAY, RIZAL","4-A",0.0,,7.4,0.2,0.0,0.0,0.0,,,0.6,8.2,279
366,"ISING, DAVAO DEL NORTE",11,0.0,0.0,1.4,0.0,0.6,,,0.0,0.0,0.0,2,366,"ISING, DAVAO DEL NORTE","11",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,366,"ISING, DAVAO DEL NORTE","11",0.0,,0.4,0.0,39.8,13.4,0.0,,,0.0,53.6,55.6
368,"KITCHARAO, AGUSAN DEL NORTE",13,10.2,0.0,0.0,0.0,0.2,,,0.0,0.0,0.0,10.4,368,"KITCHARAO, AGUSAN DEL NORTE","13",4.8,8.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0,24.2
875,"LASAM, CAGAYAN",2,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,875,"LASAM, CAGAYAN","2",,0.0,0.0,0.0,,,,,,,0,875,"LASAM, CAGAYAN","2",,,,,,,,,,0.0,0,0
869,"MALAYBALAY, BUKIDNON",10,,,,,,,,,,,,869,"MALAYBALAY, BUKIDNON","10",,,,,,,,,,,,869,"MALAYBALAY, BUKIDNON","10",,,,,,,,,,,,
361,"VITALI DISTRICT, ZAMBOANGA CITY",9,15.6,6.6,0.4,0.0,0.0,16.6,0.0,0.0,0.0,0.0,39.2,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",0.0,47.8,8.2,0.0,0.0,0.0,0.0,24.6,0.0,0.0,80.6,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",0.0,0.2,0.0,0.8,0.2,0.0,0.0,1.0,0.0,11.0,13.2,133
933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",ARMM,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.0,22.2,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.0,2.2,0.0,0.0,0.0,0.0,0.0,15.6,2.2,0.0,20,60.4
